naics;year;vadd;cap;emp;lvadd;lcap;lemp
311111;1958;266.9;1032.1;18;5.586874056;6.939350841;2.890371758
311111;1959;268.7;1105.6;17.9;5.593595516;7.008143453;2.884800713
311111;1960;269.9;1149.6;17.7;5.59805152;7.047169335;2.87356464
311111;1961;287.8;1186.8;17.5;5.662265794;7.079015888;2.862200881
311111;1962;294.5;1223.7;17.6;5.685279003;7.109634335;2.867898902
311111;1963;328.7;1258;17.1;5.795145481;7.137278437;2.839078464
311111;1964;326.8;1310.2;16.6;5.789348363;7.177935076;2.809402695
311111;1965;324.7;1340.9;16;5.782901679;7.201096309;2.772588722
311111;1966;344.8;1387.9;16.1;5.842964539;7.235547092;2.778819272
311111;1967;410;1419.8;16.7;6.01615716;7.258271296;2.815408719
311111;1968;426.6;1466;16.6;6.055846806;7.290292882;2.809402695
311111;1969;470.2;1527.9;17.3;6.153158136;7.331649523;2.850706502
311111;1970;515.1;1600.8;17.9;6.244361057;7.378258783;2.884800713
311111;1971;518;1678.8;17;6.249975242;7.425834531;2.833213344
311111;1972;572.8;1789.4;12.5;6.350536616;7.489635647;2.525728644
311111;1973;685.4;1902.9;13.7;6.530002609;7.551134317;2.617395833
311111;1974;771.5;2060.3;13.9;6.648336672;7.630606882;2.63188884
311111;1975;882;2182.5;14.3;6.782192056;7.688226288;2.660259537
311111;1976;1061.2;2224.4;14.4;6.967155622;7.707242495;2.667228207
311111;1977;1299.9;2233.3;15.5;7.170042617;7.711235591;2.740840024
311111;1978;1452.5;2246.6;16.3;7.281041489;7.717173241;2.791165108
311111;1979;1303.7;2285.9;16.3;7.172961655;7.734515099;2.791165108
311111;1980;1626.4;2313;16.7;7.394124262;7.746300662;2.815408719
311111;1981;1741;2361;15.2;7.46221494;7.766840537;2.721295428
311111;1982;2129;2317.5;15.2;7.663407665;7.748244297;2.721295428
311111;1983;2268;2289.2;15;7.726653665;7.735957691;2.708050201
311111;1984;2451.1;2271.3;15.2;7.804292182;7.728107634;2.721295428
311111;1985;2868.4;2292.7;14.6;7.961509662;7.737485441;2.681021529
311111;1986;2933.5;2274.1;14.2;7.983951528;7.729339649;2.653241965
311111;1987;2741.5;2284.4;13.4;7.916260495;7.733858687;2.595254707
311111;1988;3088.4;2319.7;13.7;8.035408436;7.749193146;2.617395833
311111;1989;3577.6;2392.9;13.2;8.182447464;7.780261298;2.58021683
311111;1990;3842.2;2457;12.9;8.253800398;7.806696373;2.557227311
311111;1991;3619.8;2534.8;12.8;8.194174055;7.837870017;2.549445171
311111;1992;3729.9;2599;13.8;8.224136703;7.862882035;2.624668592
311111;1993;3643;2671.7;14.1;8.200562797;7.890470253;2.646174797
311111;1994;3477.5;2691;13.3;8.154068924;7.897668151;2.587764035
311111;1995;3279.1;2756.9;13.4;8.095324273;7.921862139;2.595254707
311111;1996;3496.6;2861.2;13.3;8.159546347;7.958996396;2.587764035
311111;1997;4307.1;2933;14;8.368020103;7.983781069;2.63905733
311111;1998;4396.8;3043.4;14.1;8.388632283;8.02073059;2.646174797
311111;1999;4249.7;3097.9;14.2;8.354603671;8.038479742;2.653241965
311111;2000;4283;3184.2;14.8;8.362408978;8.065956359;2.694627181
311111;2001;5153.9;3359.3;14.1;8.547508989;8.119487898;2.646174797
311111;2002;5924.7;3468.4;14.5;8.686885332;8.151448672;2.674148649
311111;2003;6270;3508.9;14.2;8.743531634;8.163057877;2.653241965
311111;2004;6722.6;3591.7;13;8.813230263;8.186380907;2.564949357
311111;2005;7355;3659.5;14.5;8.903135633;8.205081805;2.674148649
311111;2006;7804.2;3707.1;14.6;8.962417329;8.218005179;2.681021529
311111;2007;7561.2;3745.9;16.9;8.930785187;8.228417188;2.827313622
311111;2008;9891.6;3791.6;16.9;9.199441191;8.240543373;2.827313622
311111;2009;9928;3850.6;17.5;9.203114327;8.255984259;2.862200881
311111;2010;9753.2;4000.7;18.2;9.185350715;8.294224625;2.901421594
311111;2011;9201.7;4191.2;16.9;9.127143529;8.340742368;2.827313622
311111;2012;9045.9;4336.6;16.9;9.110066895;8.37484591;2.827313622
311111;2013;10019.8;4427.8;17.1;9.212318414;8.395658126;2.839078464
311111;2014;10395;4549.7;17.9;9.2490802;8.422816576;2.884800713
311111;2015;10335.6;4808;16.5;9.243349526;8.478036476;2.803360381
311111;2016;11029.4;5017.1;17.9;9.308319714;8.520607357;2.884800713
311119;1958;531.5;2166.3;39.2;6.275703198;7.680775922;3.668676747
311119;1959;534.8;2319.3;38.9;6.281892845;7.749020695;3.660994251
311119;1960;537.3;2410.3;38.6;6.286556598;7.7875065;3.653252276
311119;1961;573.1;2486.7;38.2;6.351060222;7.818711809;3.642835516
311119;1962;586.4;2563.2;38.5;6.374002151;7.849011757;3.650658241
311119;1963;654.4;2634.4;37.4;6.483718785;7.876410731;3.621670704
